,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
0,water_ts_feel,feel,water,iTDE,0.761904761904762,0.0,0.0,0.7032967032967034,0.253968253968254,1.0,44.0,2.0,3.0,1.0,0.0,volume
1,water_ts_feel,feel,water,iTDE,0.923076923076923,0.0,0.0,0.6923076923076923,0.30769230769230765,2.0,27.0,1.0,2.0,1.0,0.0,volume
2,water_ts_feel,feel,water,iTDE,0.6666666666666666,NA,0.0,0.6666666666666666,0.3333333333333333,3.0,20.0,0.0,2.0,1.0,0.0,volume
3,water_ts_feel,feel,water,iTDE,0.7999999999999999,0.0,0.0,0.5538461538461538,0.26666666666666666,1.0,44.0,2.0,3.0,0.0,0.0,volume
4,water_ts_feel,feel,water,iTDE,0.9090909090909091,NA,0.0,0.9090909090909091,0.45454545454545453,3.0,20.0,0.0,2.0,0.0,0.0,volume
5,water_ts_feel,feel,water,iTDE,0.8571428571428571,NA,0.0,0.6428571428571428,0.42857142857142855,4.0,14.0,0.0,1.0,0.0,0.5,volume
6,water_ts_feel_norm,feel,water,iTDE,0.8695652173913043,0.0,0.0,0.7357859531772575,0.2898550724637681,1.0,44.0,2.0,3.0,1.0,0.4318181818181818,volume
7,water_ts_feel_norm,feel,water,iTDE,0.923076923076923,0.0,0.0,0.6923076923076923,0.30769230769230765,2.0,27.0,1.0,2.0,1.0,0.0,volume
8,water_ts_feel_norm,feel,water,iTDE,0.8571428571428571,NA,0.0,0.6428571428571428,0.42857142857142855,4.0,14.0,0.0,1.0,1.0,0.5,volume
9,water_ts_feel_norm,feel,water,iTDE,0.8181818181818182,0.0,0.0,0.6923076923076923,0.27272727272727276,1.0,44.0,2.0,3.0,0.0,0.4318181818181818,volume
10,water_ts_feel_norm,feel,water,iTDE,1.0,0.0,0.0,0.875,0.3333333333333333,2.0,27.0,1.0,2.0,0.0,0.0,volume
11,water_ts_feel_norm,feel,water,iTDE,0.8,NA,0.0,0.8000000000000002,0.4,3.0,20.0,0.0,2.0,0.0,0.0,volume
12,water_ts_feel_norm,feel,water,iTDE,0.6666666666666666,NA,0.0,0.6666666666666666,0.3333333333333333,4.0,14.0,0.0,1.0,0.0,0.0,volume
13,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8055555555555555,0.0,0.20000000000000004,0.663510101010101,0.3351851851851852,1.0,146.0,9.0,19.0,1.0,0.46428571428571425,e_consumption
14,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8823529411764706,0.0,0.0,0.6838235294117647,0.29411764705882354,2.0,136.0,9.0,15.0,1.0,0.49193548387096775,e_consumption
15,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8923076923076922,0.0,0.0,0.7958419958419958,0.29743589743589743,3.0,126.0,9.0,13.0,1.0,0.4848484848484849,e_consumption
16,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8852459016393442,0.0,0.0,0.7290260366441659,0.29508196721311475,4.0,116.0,9.0,11.0,1.0,0.48214285714285715,e_consumption
17,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.888888888888889,0.0,0.33333333333333337,0.7465277777777779,0.40740740740740744,5.0,107.0,8.0,11.0,1.0,0.5,e_consumption
18,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.9056603773584906,0.0,0.4,0.8417610062893083,0.4352201257861636,6.0,98.0,8.0,11.0,1.0,0.5972222222222222,e_consumption
19,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.9130434782608695,0.0,0.28571428571428575,0.8327582240625718,0.3995859213250517,7.0,91.0,6.0,10.0,1.0,0.6145833333333334,e_consumption
20,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8421052631578947,0.0,0.0,0.708133971291866,0.2807017543859649,1.0,146.0,9.0,19.0,0.0,0.47297297297297297,e_consumption
21,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8615384615384615,0.0,0.0,0.7107692307692307,0.28717948717948716,2.0,136.0,9.0,15.0,0.0,0.44696969696969696,e_consumption
22,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8888888888888888,0.0,0.4,0.7771771771771772,0.4296296296296296,3.0,126.0,9.0,13.0,0.0,0.5510752688172044,e_consumption
23,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.847457627118644,0.0,0.0,0.7228315054835494,0.2824858757062147,4.0,116.0,9.0,11.0,0.0,0.4568965517241379,e_consumption
24,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8,0.0,0.25,0.5890625,0.35000000000000003,5.0,107.0,8.0,11.0,0.0,0.5272727272727272,e_consumption
25,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.8979591836734694,0.0,0.28571428571428575,0.746938775510204,0.3945578231292517,6.0,98.0,8.0,11.0,0.0,0.6458333333333334,e_consumption
26,electricity_total_ts_feel_norm,feel,electricity,iTDE,0.9166666666666666,0.0,0.0,0.8148148148148148,0.3055555555555555,7.0,91.0,6.0,10.0,0.0,0.46875,e_consumption
27,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.7714285714285715,0.0,0.0,0.5961038961038961,0.2571428571428572,1.0,146.0,9.0,19.0,1.0,0.463235294117647,e_consumption
28,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.9295774647887323,0.0,0.0,0.836619718309859,0.30985915492957744,2.0,136.0,9.0,15.0,1.0,0.4791666666666667,e_consumption
29,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8571428571428571,0.0,0.0,0.718146718146718,0.2857142857142857,3.0,126.0,9.0,13.0,1.0,0.467741935483871,e_consumption
30,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8852459016393444,0.0,0.0,0.8331726133076183,0.2950819672131148,4.0,116.0,9.0,11.0,1.0,0.0,e_consumption
31,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.9473684210526316,0.0,0.5,0.8758223684210527,0.4824561403508772,5.0,107.0,8.0,11.0,1.0,0.5654761904761905,e_consumption
32,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8749999999999999,0.0,0.25,0.7458333333333332,0.375,6.0,98.0,8.0,11.0,1.0,0.595,e_consumption
