,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
0,water_ts_feel,feel,water,TSF,0.9600000000000001,0.0,0.0,0.8861538461538463,0.48000000000000004,1.0,44.0,2.0,3.0,0.0,0.0,volume
1,water_ts_feel,feel,water,TSF,0.9090909090909091,NA,0.0,0.7575757575757575,0.45454545454545453,3.0,20.0,0.0,2.0,0.0,0.0,volume
2,water_ts_feel_norm,feel,water,TSF,0.8695652173913044,0.0,0.0,0.6688963210702342,0.2898550724637681,1.0,44.0,2.0,3.0,0.0,0.5208333333333334,volume
3,electricity_total_ts_feel_norm,feel,electricity,TSF,0.9397590361445783,0.0,0.0,0.8329682365826945,0.3132530120481928,1.0,146.0,9.0,19.0,0.0,0.5979344729344729,e_consumption
4,electricity_total_ts_feel_norm,feel,electricity,TSF,0.9473684210526315,0.0,0.0,0.8763157894736843,0.3157894736842105,2.0,136.0,9.0,15.0,0.0,0.44031531531531537,e_consumption
5,electricity_total_ts_feel_norm,feel,electricity,TSF,0.911764705882353,0.0,0.0,0.7639109697933228,0.303921568627451,3.0,126.0,9.0,13.0,0.0,0.426747311827957,e_consumption
6,electricity_total_ts_feel_norm,feel,electricity,TSF,0.9375,0.0,0.0,0.8272058823529411,0.3125,4.0,116.0,9.0,11.0,0.0,0.31388888888888894,e_consumption
7,electricity_total_ts_feel_norm,feel,electricity,TSF,0.9508196721311475,0.0,0.0,0.8616803278688524,0.3169398907103825,5.0,107.0,8.0,11.0,0.0,0.5129310344827586,e_consumption
8,electricity_total_ts_feel_norm,feel,electricity,TSF,0.888888888888889,0.0,0.0,0.7111111111111111,0.29629629629629634,6.0,98.0,8.0,11.0,0.0,0.4388888888888889,e_consumption
9,electricity_total_ts_feel_norm,feel,electricity,TSF,0.92,0.0,0.0,0.7837037037037037,0.3066666666666667,7.0,91.0,6.0,10.0,0.0,0.6340579710144928,e_consumption
10,electricity_living_ts_feel_norm,feel,electricity,TSF,0.8571428571428571,0.0,0.0,0.6623376623376623,0.2857142857142857,1.0,146.0,9.0,19.0,0.0,0.49785539215686275,e_consumption
11,electricity_living_ts_feel_norm,feel,electricity,TSF,0.8732394366197183,0.0,0.0,0.6985915492957746,0.29107981220657275,2.0,136.0,9.0,15.0,0.0,0.54375,e_consumption
12,electricity_living_ts_feel_norm,feel,electricity,TSF,0.927536231884058,0.0,0.0,0.8021934978456717,0.30917874396135264,3.0,126.0,9.0,13.0,0.0,0.43923611111111116,e_consumption
13,electricity_living_ts_feel_norm,feel,electricity,TSF,0.9206349206349206,0.0,0.0,0.7852474323062557,0.30687830687830686,4.0,116.0,9.0,11.0,0.0,0.5450191570881227,e_consumption
14,electricity_living_ts_feel_norm,feel,electricity,TSF,0.896551724137931,0.0,0.0,0.728448275862069,0.2988505747126437,5.0,107.0,8.0,11.0,0.0,0.7123397435897436,e_consumption
15,electricity_living_ts_feel_norm,feel,electricity,TSF,0.888888888888889,0.0,0.0,0.7407407407407408,0.29629629629629634,6.0,98.0,8.0,11.0,0.0,0.5133333333333333,e_consumption
16,electricity_living_ts_feel_norm,feel,electricity,TSF,0.9411764705882353,0.0,0.0,0.8366013071895424,0.3137254901960784,7.0,91.0,6.0,10.0,0.0,0.5763888888888888,e_consumption
17,electricity_total_ts_feel,feel,electricity,TSF,0.9647058823529412,0.0,0.0,0.8989304812834225,0.4823529411764706,1.0,146.0,9.0,19.0,0.0,0.0,e_consumption
18,electricity_total_ts_feel,feel,electricity,TSF,0.9189189189189189,0.0,0.0,0.7810810810810811,0.3063063063063063,2.0,136.0,9.0,15.0,0.0,0.3817401960784313,e_consumption
19,electricity_total_ts_feel,feel,electricity,TSF,0.8787878787878788,0.0,0.0,0.6887796887796888,0.29292929292929293,3.0,126.0,9.0,13.0,0.0,0.6542145593869731,e_consumption
20,electricity_total_ts_feel,feel,electricity,TSF,0.9032258064516129,0.0,0.0,0.7703984819734345,0.3010752688172043,4.0,116.0,9.0,11.0,0.0,0.6623563218390804,e_consumption
21,electricity_total_ts_feel,feel,electricity,TSF,0.9508196721311475,0.0,0.0,0.8616803278688524,0.3169398907103825,5.0,107.0,8.0,11.0,0.0,0.5445402298850575,e_consumption
22,electricity_total_ts_feel,feel,electricity,TSF,0.888888888888889,0.0,0.0,0.7111111111111111,0.29629629629629634,6.0,98.0,8.0,11.0,0.0,0.3993055555555556,e_consumption
23,electricity_total_ts_feel,feel,electricity,TSF,0.9199999999999999,0.0,0.0,0.8177777777777777,0.30666666666666664,7.0,91.0,6.0,10.0,0.0,0.4670138888888889,e_consumption
