,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
0,water_ts_feel,feel,water,indvBOSS,0.761904761904762,0.0,0.0,0.6446886446886447,0.253968253968254,1.0,44.0,2.0,3.0,1.0,0.3863636363636364,volume
1,water_ts_feel,feel,water,indvBOSS,0.8571428571428571,0.0,0.0,0.8571428571428571,0.42857142857142855,2.0,27.0,1.0,2.0,1.0,0.0,volume
2,water_ts_feel,feel,water,indvBOSS,0.9166666666666666,0.0,0.0,0.7756410256410255,0.3055555555555555,1.0,44.0,2.0,3.0,0.0,0.5,volume
3,water_ts_feel,feel,water,indvBOSS,0.8571428571428571,NA,0.0,0.6428571428571428,0.42857142857142855,4.0,14.0,0.0,1.0,0.0,0.5,volume
4,water_ts_feel_norm,feel,water,indvBOSS,0.8181818181818182,0.0,0.0,0.6923076923076923,0.27272727272727276,1.0,44.0,2.0,3.0,1.0,0.4545454545454546,volume
5,water_ts_feel_norm,feel,water,indvBOSS,1.0,0.0,0.0,0.875,0.3333333333333333,2.0,27.0,1.0,2.0,1.0,0.0,volume
6,water_ts_feel_norm,feel,water,indvBOSS,0.8,NA,0.0,0.5333333333333333,0.4,3.0,20.0,0.0,2.0,1.0,0.5,volume
7,water_ts_feel_norm,feel,water,indvBOSS,0.8571428571428571,NA,0.0,0.8571428571428571,0.42857142857142855,4.0,14.0,0.0,1.0,1.0,0.0,volume
8,water_ts_feel_norm,feel,water,indvBOSS,0.761904761904762,0.0,0.0,0.7032967032967034,0.253968253968254,1.0,44.0,2.0,3.0,0.0,0.0,volume
9,water_ts_feel_norm,feel,water,indvBOSS,0.923076923076923,0.0,1.0,0.8173076923076923,0.641025641025641,2.0,27.0,1.0,2.0,0.0,0.0,volume
10,water_ts_feel_norm,feel,water,indvBOSS,0.8571428571428571,NA,0.0,0.8571428571428571,0.42857142857142855,4.0,14.0,0.0,1.0,0.0,0.0,volume
11,electricity_total_ts_feel_norm,feel,electricity,indvBOSS,0.8219178082191781,0.5,0.0,0.7439290161892903,0.44063926940639275,1.0,146.0,9.0,19.0,1.0,0.5372807017543859,e_consumption
12,electricity_total_ts_feel_norm,feel,electricity,indvBOSS,0.8529411764705883,0.0,0.28571428571428575,0.7322478991596639,0.37955182072829136,2.0,136.0,9.0,15.0,1.0,0.5321969696969697,e_consumption
13,electricity_total_ts_feel_norm,feel,electricity,indvBOSS,0.9090909090909091,0.0,0.0,0.8108108108108109,0.30303030303030304,3.0,126.0,9.0,13.0,1.0,0.4772727272727273,e_consumption
