,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
0,water_ts_feel,feel,water,MUSE,0.8695652173913044,0.0,0.0,0.6688963210702342,0.4347826086956522,1.0,44.0,2.0,3.0,1.0,0.0,volume
1,water_ts_feel,feel,water,MUSE,0.9166666666666666,0.0,0.0,0.7756410256410255,0.3055555555555555,1.0,44.0,2.0,3.0,0.0,0.42424242424242425,volume
2,water_ts_feel,feel,water,MUSE,0.9333333333333333,0.0,0.0,0.8166666666666667,0.4666666666666667,2.0,27.0,1.0,2.0,0.0,0.0,volume
3,water_ts_feel_norm,feel,water,MUSE,0.8695652173913044,0.0,0.0,0.6688963210702342,0.4347826086956522,1.0,44.0,2.0,3.0,1.0,0.0,volume
4,water_ts_feel_norm,feel,water,MUSE,0.9333333333333333,0.0,0.0,0.8166666666666667,0.4666666666666667,2.0,27.0,1.0,2.0,1.0,0.0,volume
5,water_ts_feel_norm,feel,water,MUSE,0.9600000000000001,0.0,0.0,0.8861538461538463,0.48000000000000004,1.0,44.0,2.0,3.0,0.0,0.0,volume
6,water_ts_feel_norm,feel,water,MUSE,0.9333333333333333,0.0,0.0,0.8166666666666667,0.4666666666666667,2.0,27.0,1.0,2.0,0.0,0.0,volume
7,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.9,0.0,0.0,0.7772727272727273,0.3,1.0,146.0,9.0,19.0,1.0,0.518640350877193,e_consumption
8,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8732394366197183,0.0,0.0,0.6985915492957746,0.29107981220657275,2.0,136.0,9.0,15.0,1.0,0.5923611111111111,e_consumption
9,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.9253731343283583,0.0,0.0,0.8253327954820493,0.3084577114427861,3.0,126.0,9.0,13.0,1.0,0.7508417508417509,e_consumption
10,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8363636363636363,0.0,0.0,0.6395721925133689,0.27878787878787875,4.0,116.0,9.0,11.0,1.0,0.33376068376068374,e_consumption
11,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8076923076923077,0.0,0.28571428571428575,0.6577953296703297,0.3644688644688645,5.0,107.0,8.0,11.0,1.0,0.4583333333333333,e_consumption
12,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8979591836734694,0.0,0.4,0.7749659863945578,0.4326530612244898,6.0,98.0,8.0,11.0,1.0,0.6222222222222222,e_consumption
13,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8936170212765957,0.0,0.0,0.7612293144208038,0.2978723404255319,7.0,91.0,6.0,10.0,1.0,0.5193236714975845,e_consumption
14,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.9268292682926829,0.0,0.0,0.8004434589800443,0.30894308943089427,1.0,146.0,9.0,19.0,0.0,0.3798245614035088,e_consumption
15,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8732394366197184,0.0,0.0,0.6767605633802817,0.2910798122065728,2.0,136.0,9.0,15.0,0.0,0.527479091995221,e_consumption
16,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.9275362318840579,0.0,0.0,0.8523305914610262,0.30917874396135264,3.0,126.0,9.0,13.0,0.0,0.0,e_consumption
17,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.8571428571428572,0.0,0.25,0.7457983193277311,0.36904761904761907,4.0,116.0,9.0,11.0,0.0,0.5498084291187739,e_consumption
18,electricity_total_ts_feel_norm,feel,electricity,MUSE,0.9333333333333333,0.0,0.0,0.8166666666666667,0.3111111111111111,5.0,107.0,8.0,11.0,0.0,0.4523809523809525,e_consumption
