"file (sensor, outcome)",length (days),count constant,count decline,count improvement,Majority %,Minority % for non-majority labels,,,
water_ts_resp,2,14,0,16,53.3%,0.0%,160,,46.67%
water_ts_resp,3,13,0,9,59.1%,0.0%,148,,40.91%
electricity_nutrition_ts_resp,7,30,1,55,64.0%,3.2%,136,,36.05%
electricity_nutrition_ts_resp,6,31,1,60,65.2%,3.1%,126,,34.78%
electricity_nutrition_ts_resp,4,34,2,69,65.7%,5.6%,117,,34.29%
electricity_nutrition_ts_resp,3,35,3,74,66.1%,7.9%,107,,33.93%
electricity_nutrition_ts_resp,5,32,1,65,66.3%,3.0%,174,0.3%,33.67%
electricity_living_ts_resp,7,35,1,71,66.4%,2.8%,160,,33.64%
electricity_total_ts_resp,7,35,1,71,66.4%,2.8%,148,,33.64%
electricity_nutrition_ts_resp,2,36,4,79,66.4%,10.0%,136,,33.61%
electricity_nutrition_ts_resp,1,37,5,84,66.7%,11.9%,126,,33.33%
electricity_living_ts_resp,6,37,1,79,67.5%,2.6%,117,,32.48%
electricity_total_ts_resp,6,37,1,79,67.5%,2.6%,107,,32.48%
electricity_living_ts_resp,4,42,2,92,67.6%,4.5%,173,0.1%,32.35%
electricity_total_ts_resp,4,42,2,92,67.6%,4.5%,119,,32.35%
electricity_living_ts_resp,3,44,3,101,68.2%,6.4%,112,,31.76%
electricity_total_ts_resp,3,44,3,101,68.2%,6.4%,105,,31.76%
electricity_living_ts_resp,5,39,1,86,68.3%,2.5%,98,,31.75%
electricity_total_ts_resp,5,39,1,86,68.3%,2.5%,92,,31.75%
electricity_living_ts_resp,2,46,4,110,68.8%,8.0%,86,,31.25%
electricity_total_ts_resp,2,46,4,110,68.8%,8.0%,127,,31.25%
electricity_living_ts_resp,1,48,5,120,69.4%,9.4%,119,0.0%,30.64%
electricity_total_ts_resp,1,48,5,120,69.4%,9.4%,112,,30.64%
water_ts_resp,1,15,0,34,69.4%,0.0%,105,,30.61%
sleep_ts_resp,6,88,1,23,78.6%,4.2%,136,,21.43%
sleep_ts_resp,5,92,1,24,78.6%,4.0%,126,,21.37%
sleep_ts_resp,4,96,1,25,78.7%,3.8%,117,,21.31%
sleep_ts_resp,3,100,1,26,78.7%,3.7%,107,#REF!,21.26%
sleep_ts_resp,2,104,1,27,78.8%,3.6%,160,,21.21%
sleep_ts_resp,1,108,1,28,78.8%,3.4%,148,,21.17%
sleep_ts_resp,7,84,1,21,79.2%,4.5%,136,,20.75%
water_ts_resp,4,12,0,3,80.0%,0.0%,126,,20.00%
electricity_nutrition_ts_feel,1,102,7,18,80.3%,28.0%,117,,19.69%
electricity_nutrition_ts_feel,2,97,7,15,81.5%,31.8%,107,,18.49%
electricity_nutrition_ts_feel,6,75,6,11,81.5%,35.3%,173,0.0%,18.48%
electricity_nutrition_ts_feel,3,92,7,13,82.1%,35.0%,137,-1.8%,17.86%
electricity_nutrition_ts_feel,7,71,5,10,82.6%,33.3%,132,,17.44%
electricity_nutrition_ts_feel,5,81,6,11,82.7%,35.3%,127,,17.35%
electricity_nutrition_ts_feel,4,87,7,11,82.9%,38.9%,122,,17.14%
electricity_living_ts_feel,6,98,8,11,83.8%,42.1%,117,,16.24%
electricity_total_ts_feel,6,98,8,11,83.8%,42.1%,112,,16.24%
electricity_living_ts_feel,1,146,9,19,83.9%,32.1%,106,,16.09%
electricity_total_ts_feel,1,146,9,19,83.9%,32.1%,135,-1.1%,16.09%
electricity_living_ts_feel,5,107,8,11,84.9%,42.1%,135,,15.08%
electricity_total_ts_feel,5,107,8,11,84.9%,42.1%,135,,15.08%
electricity_living_ts_feel,2,136,9,15,85.0%,37.5%,135,,15.00%
electricity_total_ts_feel,2,136,9,15,85.0%,37.5%,135,,15.00%
electricity_living_ts_feel,7,91,6,10,85.0%,37.5%,135,,14.95%
electricity_total_ts_feel,7,91,6,10,85.0%,37.5%,135,,14.95%
electricity_living_ts_feel,3,126,9,13,85.1%,40.9%,137,-4.6%,14.86%
electricity_total_ts_feel,3,126,9,13,85.1%,40.9%,132,,14.86%
electricity_living_ts_feel,4,116,9,11,85.3%,45.0%,127,,14.71%
electricity_total_ts_feel,4,116,9,11,85.3%,45.0%,122,,14.71%
sleep_ts_feel,6,100,4,8,89.3%,33.3%,117,,10.71%
sleep_ts_feel,7,95,3,8,89.6%,27.3%,112,,10.38%
sleep_ts_feel,5,105,4,8,89.7%,33.3%,106,,10.26%
water_ts_feel,1,44,2,3,89.8%,40.0%,132,#REF!,10.20%
water_ts_feel,2,27,1,2,90.0%,33.3%,132,,10.00%
sleep_ts_feel,4,110,4,8,90.2%,33.3%,132,,9.84%
sleep_ts_feel,3,115,4,8,90.6%,33.3%,132,,9.45%
water_ts_feel,3,20,0,2,90.9%,0.0%,132,,9.09%
sleep_ts_feel,2,120,4,8,90.9%,33.3%,132,,9.09%
sleep_ts_feel,1,125,4,8,91.2%,33.3%,22,,8.76%
water_ts_feel,4,14,0,1,93.3%,0.0%,15,,6.67%
