,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
3,electricity_nutrition_ts_resp_norm,resp,electricity,indvBOSS,0.9411764709999999,1.0,0.972972973,0.96371792,0.9713831479999999,3,35,3,74,1,0.958333333,e_consumption
6,electricity_nutrition_ts_resp,resp,electricity,ROCKET,0.933333333,1.0,0.974358974,0.9635531140000001,0.969230769,3,35,3,74,0,0.96875,e_consumption
7,electricity_nutrition_ts_resp_norm,resp,electricity,ROCKET,0.875,1.0,0.947368421,0.925986842,0.940789474,3,35,3,74,0,0.944444444,e_consumption
9,electricity_living_ts_resp_norm,resp,electricity,iTDE,0.857142857,1.0,0.947368421,0.92387218,0.934837093,2,46,4,110,0,0.913961039,e_consumption
12,electricity_nutrition_ts_resp,resp,electricity,MrSEQL,0.842105263,1.0,0.923076923,0.901349528,0.921727395,2,36,4,79,1,0.964814815,e_consumption
14,electricity_total_ts_resp,resp,electricity,iTDE,0.666666667,1.0,0.8771929820000001,0.8276315790000001,0.847953216,2,46,4,110,1,0.915517241,e_consumption
25,electricity_nutrition_ts_resp,resp,electricity,MrSEQL,0.7,1.0,0.842105263,0.814210526,0.847368421,2,36,4,79,0,0.9870129870000001,e_consumption
26,electricity_total_ts_resp,resp,electricity,MUSE,0.588235294,1.0,0.872727273,0.79158838,0.8203208559999999,3,44,3,101,1,0.924848485,e_consumption
29,electricity_living_ts_resp_norm,resp,electricity,MUSE,0.869565217,0.666666667,0.916666667,0.887877007,0.81763285,3,44,3,101,1,0.8961352659999999,e_consumption
30,electricity_total_ts_resp_norm,resp,electricity,MUSE,0.8,0.666666667,0.901960784,0.864440911,0.789542484,3,44,3,101,1,0.89957265,e_consumption
44,electricity_nutrition_ts_resp,resp,electricity,indvBOSS,0.7777777779999999,0.666666667,0.871794872,0.83988604,0.772079772,2,36,4,79,0,0.6711309520000001,e_consumption
54,electricity_living_ts_resp_norm,resp,electricity,indvBOSS,0.75,0.666666667,0.85106383,0.8055875020000001,0.755910165,3,44,3,101,0,0.77534965,e_consumption
72,electricity_nutrition_ts_resp_norm,resp,electricity,MrSEQL,0.705882353,0.666666667,0.833333333,0.7850140059999999,0.735294118,3,35,3,74,1,0.711805556,e_consumption
87,sleep_ts_feel_norm,feel,sleep,iTDE,0.9259259259999999,0.666666667,0.4,0.8836320190000001,0.664197531,4,110,4,8,0,0.8482142859999999,avg_act
90,electricity_nutrition_ts_resp,resp,electricity,MrSEQL,0.5,0.666666667,0.731707317,0.6769563009999999,0.6327913279999999,1,37,5,84,1,0.758281573,e_consumption
106,sleep_ts_feel,feel,sleep,iTDE,0.905660377,0.5,0.4,0.859951309,0.6018867920000001,4,110,4,8,1,0.857142857,hrv_hf
117,electricity_nutrition_ts_resp_norm,resp,electricity,iTDE,0.6,0.28571428600000004,0.893617021,0.791394377,0.593110436,1,37,5,84,1,0.710403727,e_consumption
147,electricity_nutrition_ts_resp_norm,resp,electricity,MrSEQL,0.470588235,0.5,0.744186047,0.660524966,0.571591427,1,37,5,84,0,0.636363636,e_consumption
162,electricity_nutrition_ts_feel_norm,feel,electricity,iTDE,0.84,0.333333333,0.5,0.776458333,0.557777778,1,102,7,18,1,0.5277777779999999,e_consumption
244,electricity_nutrition_ts_feel_norm,feel,electricity,MrSEQL,0.8444444440000001,0.333333333,0.444444444,0.7740740740000001,0.540740741,2,97,7,15,0,0.775,e_consumption
259,electricity_nutrition_ts_feel_norm,feel,electricity,iTDE,0.862745098,0.4,0.25,0.738082108,0.504248366,1,102,7,18,0,0.55,e_consumption
281,electricity_nutrition_ts_feel,feel,electricity,indvBOSS,0.7826086959999999,0.5,0.2,0.637246377,0.494202899,2,97,7,15,0,0.8230519479999999,e_consumption
305,sleep_ts_feel,feel,sleep,MrSEQL,0.761904762,0.5,0.2,0.712414966,0.48730158700000004,6,100,4,8,1,0.846666667,duration_in_bed
313,electricity_living_ts_feel,feel,electricity,indvBOSS,0.864864865,0.333333333,0.25,0.74477887,0.48273273299999997,1,146,9,19,0,0.554761905,e_consumption
421,electricity_nutrition_ts_resp,resp,electricity,indvBOSS,0.166666667,0.5,0.75,0.588541667,0.472222222,1,37,5,84,1,0.497159091,e_consumption
428,sleep_ts_feel_norm,feel,sleep,MrSEQL,0.731707317,0.5,0.181818182,0.68415426,0.47117516600000003,6,100,4,8,1,0.726666667,hrv_lf
430,sleep_ts_feel,feel,sleep,MrSEQL,0.7179487179999999,0.25,0.444444444,0.6817002440000001,0.470797721,6,100,4,8,0,0.903333333,hrv_rmssd_morning
439,sleep_ts_feel,feel,sleep,MrSEQL,0.739130435,0.333333333,0.333333333,0.701086957,0.46859903399999997,3,115,4,8,0,0.870689655,hrv_rmssd_morning
505,sleep_ts_feel,feel,sleep,MrSEQL,0.761904762,0.28571428600000004,0.28571428600000004,0.710884354,0.444444444,6,100,4,8,1,0.776666667,duration_in_sleep
572,electricity_living_ts_feel,feel,electricity,MrSEQL,0.8,0.333333333,0.166666667,0.703030303,0.433333333,1,146,9,19,0,0.798048048,e_consumption
