file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MUSE,0.947368421,0,0.944444444,0.911654135,0.630604288,3,35,3,74,0,0.990740741,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,TSF,0.956521739,0.975609756,0.975609756,0.96845175,0.966065748,1,37,5,84,0,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MrSEQL,0.941176471,0,1,0.947478992,0.647058824,3,35,3,74,0,0.979166667,e_consumption,,,,,,,,,
electricity_living_ts_feel,feel,electricity,MrSEQL,0.8,0.333333333,0.166666667,0.703030303,0.433333333,1,146,9,19,0,0.798048048,e_consumption,,electricity,1,0,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,MUSE,0.842105263,0,0.888888889,0.843776107,0.576998051,3,35,3,74,1,0.967105263,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,ROCKET,0.923076923,0.947368421,0.947368421,0.936740891,0.935222672,1,37,5,84,0,0,e_consumption,,,,,,,,,
electricity_living_ts_feel,feel,electricity,indvBOSS,0.864864865,0.333333333,0.25,0.74477887,0.482732733,1,146,9,19,0,0.554761905,e_consumption,,water,1,0,,,,,
electricity_living_ts_resp_norm,resp,electricity,iTDE,0.857142857,1,0.947368421,0.92387218,0.934837093,2,46,4,110,0,0.913961039,e_consumption,,sleep,1,0,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,0,0.944444444,hrv_score,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MUSE,0.869565217,0.666666667,0.916666667,0.887877007,0.81763285,3,44,3,101,1,0.896135266,e_consumption,,,1,0,,,,,
electricity_nutrition_ts_resp,resp,electricity,TSF,0.857142857,0,0.882352941,0.840036014,0.579831933,3,35,3,74,0,0.936574074,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,KNN,0.909090909,0.952380952,0.952380952,0.936147186,0.930735931,1,37,5,84,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,indvBOSS,0.75,0.666666667,0.85106383,0.805587502,0.755910165,3,44,3,101,0,0.77534965,e_consumption,,,1,0,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,MrSEQL,0.823529412,0,0.947368421,0.882574082,0.590299278,3,35,3,74,0,0.927380952,e_consumption,,,,,,,,,
electricity_nutrition_ts_feel,feel,electricity,indvBOSS,0.782608696,0.5,0.2,0.637246377,0.494202899,2,97,7,15,0,0.823051948,e_consumption,,,1,0,,,,,
electricity_total_ts_resp,resp,electricity,iTDE,0.888888889,0.943396226,0.943396226,0.922955975,0.916142558,2,46,4,110,0,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MUSE,0.875,0.954545455,0.954545455,0.935984848,0.914772727,2,36,4,79,0,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,TSF,0.857142857,0.956521739,0.956521739,0.930020704,0.906832298,2,36,4,79,0,0,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,iTDE,0.842105263,0.950819672,0.950819672,0.92092321,0.896462468,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,iTDE,0.857142857,0.923076923,0.923076923,0.9,0.89010989,2,46,4,110,0,0,e_consumption,,,,,,,,,
electricity_living_ts_resp,resp,electricity,indvBOSS,0.8,0.933333333,0.933333333,0.893333333,0.866666667,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,ROCKET,0.8,0.933333333,0.933333333,0.893333333,0.866666667,2,46,4,110,1,0,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.979591837,0,0.5,0.907785336,0.493197279,7,95,3,8,1,0.902777778,hrv_lf,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.92,0,0,0.817777778,0.306666667,7,95,3,8,0,0.902777778,bedexit_count,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,ROCKET,0.818181818,0.894736842,0.894736842,0.864114833,0.85645933,2,36,4,79,1,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_feel_norm,feel,electricity,MrSEQL,0.844444444,0.333333333,0.444444444,0.774074074,0.540740741,2,97,7,15,0,0.775,e_consumption,,,1,0,,,,,
electricity_nutrition_ts_feel_norm,feel,electricity,iTDE,0.862745098,0.4,0.25,0.738082108,0.504248366,1,102,7,18,0,0.55,e_consumption,,,1,0,,,,,
